id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
211,65,Q130247093,2,Peter Grüter,Q130253304,Q5,Peter,Grüter,,P767,,,"
"
212,65,Q130247093,3,Gerhard Piniel,Q124845886,Mensch,Gerhard,Piniel,,P767,,,"
"
213,65,Q130247093,4,Peter Huber,Q130253305,Q5,Peter,Huber,,P767,,,"
"
214,65,Q130247093,5,Heinz Bindschedler,Q130253306,Q5,Heinz,Bindschedler,,P767,,,"
"
215,65,Q130247093,6,Vreni Huber,Q130253307,Q5,Vreni,Huber,,P767,,,"
"
216,65,Q130247093,7,Toni Nigg,Q72062930,Mensch,Toni,Nigg,,P767,,,"
"
217,65,Q130247093,8,Peter Killer,Q113129863,Mensch,Peter,Killer,,P767,,,"
"
218,66,Q130247094,1,Katrin Murbach,Q130253308,Q5,Katrin,Murbach,,P767,,,"
"
219,66,Q130247094,2,Fabian Jaggi,Q130253309,Q5,Fabian,Jaggi,,P767,,,"
"
220,66,Q130247094,3,Riikka Tauriainen,Q130253310,Q5,Riikka,Tauriainen,,P767,,,"
"
221,66,Q130247094,4,Michael Meier,Q130253311,Q5,Michael,Meier,,P767,,,"
"
222,67,Q130247095,1,Manuella Denogent,Q130253312,Q5,Manuella,Denogent,,P767,,,"
"
223,68,Q130247096,1,Marta Margnetti,Q115556533,Mensch,Marta,Margnetti,,P767,,,"
"
224,68,Q130247096,2,Sébastien Peter,Q71311373,Mensch,Sébastien,Peter,,P767,,,"
"
225,68,Q130247096,3,Gabriel Stöckli,Q130253313,Q5,Gabriel,Stöckli,,P767,,,"
"
226,68,Q130247096,4,Gianmaria Zanda,Q130253314,Q5,Gianmaria,Zanda,,P767,,,"
"
227,68,Q130247096,5,Damiano Merzari,Q130253315,Q5,Damiano,Merzari,,P767,,,"
"
228,68,Q130247096,6,Giada Olivotto,Q130253316,Q5,Giada,Olivotto,,P767,,,"
"
229,69,Q2846076,1,Joseph Farine,Q130251848,Q5,Joseph,Farine,Gründer und seit 1983 künstlerischer Direktor,P112,1983,,"
"
230,70,Q130247097,1,Alexander Egger,Q4718793,Mensch,Alexander,Egger,,P767,,,"
"
231,71,Q130247098,1,Mark Divo,Q6767377,Mensch,Mark,Divo,,P767,,,"
"
